name,year,committee,region,cleanedName,cleanedRegion,Continent
Anwar Walid,2010,Program,"Bell Labs, USA",Anwar Walid,"Bell Labs, USA",NorAm
Matt Welsh,2010,Program,"Harvard University, USA",Matt Welsh,"Harvard University, USA",NorAm
Walter Willinger,2010,Program,"AT&T Labs - Research, USA",Walter Willinger,"AT&T Labs - Research, USA",NorAm
Yinglian Xie,2010,Program,"Microsoft Research SVC, USA",Yinglian Xie,"Microsoft Research SVC, USA",NorAm
Yin Zhang,2010,Program,"University of Texas at Austin, USA",Yin Zhang,"University of Texas at Austin, USA",NorAm
John Byers,2011,Program,"Boston University, USA",John Byers,"Boston University, USA",NorAm
Jeffrey Mogul,2011,Program,"HP Labs, USA",Jeffrey Mogul,"HP Labs, USA",NorAm
Aditya Akella,2011,Program,"University of Wisconsin, USA",Aditya Akella,"University of Wisconsin, USA",NorAm
Katerina Argyraki,2011,Program,"EPFL, Switzerland",Katerina Argyraki,"EPFL, Switzerland",EU
Paul Barford,2011,Program,"University of Wisconsin, USA",Paul Barford,"University of Wisconsin, USA",NorAm
Augustin Chaintreau,2011,Program,"Columbia University, USA",Augustin Chaintreau,"Columbia University, USA",NorAm
David Clark,2011,Program,"MIT, USA",David Clark,"MIT, USA",NorAm
Jon Crowcroft,2011,Program,"University of Cambridge, UK",Jon Crowcroft,"University of Cambridge, UK",EU
Constantinos Dovrolis,2011,Program,"Georgia Tech, USA",Constantinos Dovrolis,"Georgia Tech, USA",NorAm
Will Eatherton,2011,Program,"Juniper Networks, USA",Will Eatherton,"Juniper Networks, USA",NorAm
Michael Freedman,2011,Program,"Princeton University, USA",Michael Freedman,"Princeton University, USA",NorAm
Yashar Ganjali,2011,Program,"University of Toronto, Canada",Yashar Ganjali,"University of Toronto, Canada",NorAm
Sharon Goldberg,2011,Program,"Boston University, USA",Sharon Goldberg,"Boston University, USA",NorAm
Matthias Grossglauser,2011,Program,"EPFL, Switzerland",Matthias Grossglauser,"EPFL, Switzerland",EU
John Heidemann,2011,Program,"USC/Information Sciences Institute, USA",John Heidemann,"USC/Information Sciences Institute, USA",NorAm
Kyle Jamieson,2011,Program,"University College London, UK",Kyle Jamieson,"University College London, UK",EU
Ramesh Johari,2011,Program,"Stanford University, USA",Ramesh Johari,"Stanford University, USA",NorAm
Brad Karp,2011,Program,"University College London, UK",Brad Karp,"University College London, UK",EU
Sachin Katti,2011,Program,"Stanford University, USA",Sachin Katti,"Stanford University, USA",NorAm
Arvind Krishnamurthy,2011,Program,"University of Washington, USA",Arvind Krishnamurthy,"University of Washington, USA",NorAm
Balachander Krishnamurthy,2011,Program,AT&T Labs,Balachander Krishnamurthy,AT&T Labs,NorAm
Nikolaos Laoutaris,2011,Program,"Telefonica Research, Spain",Nikolaos Laoutaris,"Telefonica Research, Spain",EU
Ratul Mahajan,2011,Program,"Microsoft Research, USA",Ratul Mahajan,"Microsoft Research, USA",NorAm
David Oran,2011,Program,Unknown,David Oran,Unknown,NorAm
Jitendra Padhye,2011,Program,"Microsoft Research, USA",Jitendra Padhye,"Microsoft Research, USA",NorAm
Venkat Padmanabhan,2011,Program,"Microsoft Research, India",Venkat Padmanabhan,"Microsoft Research, India",AS
Adrian Perrig,2011,Program,"Carnegie Mellon University, USA",Adrian Perrig,"Carnegie Mellon University, USA",NorAm
Lili Qiu,2011,Program,"University of Texas at Austin, USA",Lili Qiu,"University of Texas at Austin, USA",NorAm
Byrav Ramamurthy,2011,Program,"University of Nebraska-Lincoln, USA",Byrav Ramamurthy,"University of Nebraska-Lincoln, USA",NorAm
Danny Raz,2011,Program,"Technion, Israel",Danny Raz,"Technion, Israel",AS
Scott Rixner,2011,Program,"Rice University, USA",Scott Rixner,"Rice University, USA",NorAm
Timothy Roscoe,2011,Program,"ETH Zurich, Switzerland",Timothy Roscoe,"ETH Zurich, Switzerland",EU
Mema Roussopoulos,2011,Program,"University of Athens, Greece",Mema Roussopoulos,"University of Athens, Greece",EU
Stefan Savage,2011,Program,"U.C. San Diego, USA",Stefan Savage,"U.C. San Diego, USA",NorAm
Srinivasan Seshan,2011,Program,"Carnegie Mellon University, USA",Srinivasan Seshan,"Carnegie Mellon University, USA",NorAm
Devavrat Shah,2011,Program,"MIT, USA",Devavrat Shah,"MIT, USA",NorAm
Scott Shenker,2011,Program,"U.C. Berkeley, USA",Scott Shenker,"U.C. Berkeley, USA",NorAm
Emin Gün Sirer,2011,Program,"Cornell University, USA",Emin Gün Sirer,"Cornell University, USA",NorAm
Vijay Sivaraman,2011,Program,"University of New South Wales, Australia",Vijay Sivaraman,"University of New South Wales, Australia",OC
Kun Tan,2011,Program,"Microsoft Research, China",Kun Tan,"Microsoft Research, China",AS
Amin Vahdat,2011,Program,"Google / U.C. San Diego, USA",Amin Vahdat,"Google / U.C. San Diego, USA",NorAm
Helen Wang,2011,Program,"Microsoft Research, USA",Helen Wang,"Microsoft Research, USA",NorAm
Gordon Wilfong,2011,Program,"Bell Labs Research, USA",Gordon Wilfong,"Bell Labs Research, USA",NorAm
Walter Willinger,2011,Program,"AT&T Labs - Research, USA",Walter Willinger,"AT&T Labs - Research, USA",NorAm
Alec Wolman,2011,Program,"Microsoft Research, USA",Alec Wolman,"Microsoft Research, USA",NorAm
Yinglian Xie,2011,Program,"Microsoft Research, USA",Yinglian Xie,"Microsoft Research, USA",NorAm
Richard Yang,2011,Program,"Yale University, USA",Richard Yang,"Yale University, USA",NorAm
Haifeng Yu,2011,Program,"National University of Singapore, Singapore",Haifeng Yu,"National University of Singapore, Singapore",AS
Ellen Zegura,2011,Program,"Georgia Tech, USA",Ellen Zegura,"Georgia Tech, USA",NorAm
Yin Zhang,2011,Program,"University of Texas at Austin, USA",Yin Zhang,"University of Texas at Austin, USA",NorAm
Yongguang Zhang,2011,Program,"Microsoft Research, China",Yongguang Zhang,"Microsoft Research, China",AS
Heather Zheng,2011,Program,"U.C. Santa Barbara, USA",Heather Zheng,"U.C. Santa Barbara, USA",NorAm
Venkat Padmanabhan,2012,Program,"Microsoft Research, India",Venkat Padmanabhan,"Microsoft Research, India",AS
George Varghese,2012,Program,"UCSD, USA",George Varghese,"UCSD, USA",NorAm
Aditya Akella,2012,Program,"University of Wisconsin, USA",Aditya Akella,"University of Wisconsin, USA",NorAm
Virgilio Almeida,2012,Program,"UFMG, Brazil",Virgilio Almeida,"UFMG, Brazil",SA
Mostafa Ammar,2012,Program,"Georgia Tech, USA",Mostafa Ammar,"Georgia Tech, USA",NorAm
Sujata Banerjee,2012,Program,"HP Labs, USA",Sujata Banerjee,"HP Labs, USA",NorAm
Fabián E. Bustamante,2012,Program,"Northwestern University, USA",Fabián E. Bustamante,"Northwestern University, USA",NorAm
Matt Caesar,2012,Program,"University of Illinois, USA",Matt Caesar,"University of Illinois, USA",NorAm
Krishna Chintalapudi,2012,Program,Microsoft Research India,Krishna Chintalapudi,Microsoft Research India,AS
Dah Ming Chiu,2012,Program,Chinese University of Hong Kong,Dah Ming Chiu,Chinese University of Hong Kong,
Romit Roy Choudhury,2012,Program,"Duke University, USA",Romit Roy Choudhury,"Duke University, USA",NorAm
Mark Crovella,2012,Program,"Boston University, USA",Mark Crovella,"Boston University, USA",NorAm
Jon Crowcroft,2012,Program,"Cambridge University, UK",Jon Crowcroft,"Cambridge University, UK",EU
Bruce Davie,2012,Program,"Nicira Networks, USA",Bruce Davie,"Nicira Networks, USA",NorAm
Jeff Dean,2012,Program,"Google, USA",Jeff Dean,"Google, USA",NorAm
Kevin Fall,2012,Program,"Qualcomm, USA",Kevin Fall,"Qualcomm, USA",NorAm
Nick Feamster,2012,Program,"University of Maryland, USA",Nick Feamster,"University of Maryland, USA",NorAm
Sergey Gorinsky,2012,Program,"Institute IMDEA Networks, Spain",Sergey Gorinsky,"Institute IMDEA Networks, Spain",EU
Krishna Gummadi,2012,Program,"MPI-SWS, Germany",Krishna Gummadi,"MPI-SWS, Germany",EU
Kyle Jamieson,2012,Program,"University College London, UK",Kyle Jamieson,"University College London, UK",EU
Brad Karp,2012,Program,"University College London, UK",Brad Karp,"University College London, UK",EU
Dina Katabi,2012,Program,"MIT, USA",Dina Katabi,"MIT, USA",NorAm
Sachin Katti,2012,Program,"Stanford University, USA",Sachin Katti,"Stanford University, USA",NorAm
Ramana Kompella,2012,Program,"Purdue University, USA",Ramana Kompella,"Purdue University, USA",NorAm
Arvind Krishnamurthy,2012,Program,"University of Washington, USA",Arvind Krishnamurthy,"University of Washington, USA",NorAm
Craig Labovitz,2012,Program,"DeepField Networks, USA",Craig Labovitz,"DeepField Networks, USA",NorAm
T. V. Lakshman,2012,Program,"Bell Labs, Alcatel-Lucent, USA",T. V. Lakshman,"Bell Labs, Alcatel-Lucent, USA",NorAm
Kirill Levchenko,2012,Program,"UC San Diego, USA",Kirill Levchenko,"UC San Diego, USA",NorAm
Dave Levin,2012,Program,"HP Labs, USA",Dave Levin,"HP Labs, USA",NorAm
Bruce Maggs,2012,Program,"Duke University and Akamai Technologies, USA",Bruce Maggs,"Duke University and Akamai Technologies, USA",NorAm
Ratul Mahajan,2012,Program,"Microsoft Research Redmond, USA",Ratul Mahajan,"Microsoft Research Redmond, USA",NorAm
Dave Maltz,2012,Program,"Microsoft, USA",Dave Maltz,"Microsoft, USA",NorAm
Z. Morley Mao,2012,Program,"University of Michigan, USA",Z. Morley Mao,"University of Michigan, USA",NorAm
Nick McKeown,2012,Program,"Stanford University, USA",Nick McKeown,"Stanford University, USA",NorAm
Mike Mitzenmacher,2012,Program,"Harvard University, USA",Mike Mitzenmacher,"Harvard University, USA",NorAm
Craig Partridge,2012,Program,"Raytheon BBN Technologies, USA",Craig Partridge,"Raytheon BBN Technologies, USA",NorAm
Lili Qiu,2012,Program,"UT Austin, USA",Lili Qiu,"UT Austin, USA",NorAm
K. K. Ramakrishnan,2012,Program,"AT&T Labs Research, USA",K. K. Ramakrishnan,"AT&T Labs Research, USA",NorAm
Bhaskaran Raman,2012,Program,"IIT Bombay, India",Bhaskaran Raman,"IIT Bombay, India",AS
Pablo Rodriguez,2012,Program,"Telefonica Research, Spain",Pablo Rodriguez,"Telefonica Research, Spain",EU
Ant Rowstron,2012,Program,"Microsoft Research Cambridge, UK",Ant Rowstron,"Microsoft Research Cambridge, UK",EU
Srinivasan Seshan,2012,Program,"Carnegie Mellon University, USA",Srinivasan Seshan,"Carnegie Mellon University, USA",NorAm
Hovav Shacham,2012,Program,"UC San Diego, USA",Hovav Shacham,"UC San Diego, USA",NorAm
Emin Gün Sirer,2012,Program,"Cornell University, USA",Emin Gün Sirer,"Cornell University, USA",NorAm
Ion Stoica,2012,Program,"UC Berkeley, USA",Ion Stoica,"UC Berkeley, USA",NorAm
Lakshmi Subramanian,2012,Program,"New York University, USA",Lakshmi Subramanian,"New York University, USA",NorAm
Renata Teixeira,2012,Program,"CNRS and UMPC Sorbonne Universities, France",Renata Teixeira,"CNRS and UMPC Sorbonne Universities, France",EU
Jon Turner,2012,Program,"Washington University, USA",Jon Turner,"Washington University, USA",NorAm
Kobus Van der Merwe,2012,Program,"AT&T Labs - Research, USA",Kobus Van der Merwe,"AT&T Labs - Research, USA",NorAm
David Wetherall,2012,Program,"University of Washington, USA",David Wetherall,"University of Washington, USA",NorAm
Haifeng Yu,2012,Program,National University of Singapore,Haifeng Yu,National University of Singapore,AS
Paul Barford,2013,Program,"University of Wisconsin, USA",Paul Barford,"University of Wisconsin, USA",NorAm
Srinivasan Seshan,2013,Program,"Carnegie Mellon University, USA",Srinivasan Seshan,"Carnegie Mellon University, USA",NorAm
Aditya Akella,2013,Program,"University of Wisconsin, USA",Aditya Akella,"University of Wisconsin, USA",NorAm
Katerina Argyraki,2013,Program,"EPFL, Switzerland",Katerina Argyraki,"EPFL, Switzerland",EU
Ranjita Bhagwan,2013,Program,"Microsoft Research, India",Ranjita Bhagwan,"Microsoft Research, India",AS
Elizabeth Belding,2013,Program,"University of California-Santa Barbara, USA",Elizabeth Belding,"University of California-Santa Barbara, USA",NorAm
John Byers,2013,Program,"Boston University, USA",John Byers,"Boston University, USA",NorAm
Matt Caesar,2013,Program,"University of Illinois, USA",Matt Caesar,"University of Illinois, USA",NorAm
Jon Crowcroft,2013,Program,"University of Cambridge, UK",Jon Crowcroft,"University of Cambridge, UK",EU
Sonia Fahmy,2013,Program,"Purdue University, USA",Sonia Fahmy,"Purdue University, USA",NorAm
Nick Feamster,2013,Program,"Georgia Institute of Technology, USA",Nick Feamster,"Georgia Institute of Technology, USA",NorAm
Lixin Gao,2013,Program,"University of Massachusetts, USA",Lixin Gao,"University of Massachusetts, USA",NorAm
Shyamnath Gollakota,2013,Program,"University of Washington, USA",Shyamnath Gollakota,"University of Washington, USA",NorAm
Tim Griffin,2013,Program,"University of Cambridge, UK",Tim Griffin,"University of Cambridge, UK",EU
John Heidemann,2013,Program,"USC/Information Sciences Institute, USA",John Heidemann,"USC/Information Sciences Institute, USA",NorAm
Brad Karp,2013,Program,"University College London, UK",Brad Karp,"University College London, UK",EU
Sachin Katti,2013,Program,"Stanford University, USA",Sachin Katti,"Stanford University, USA",NorAm
Arvind Krishnamurthy,2013,Program,"University of Washington, USA",Arvind Krishnamurthy,"University of Washington, USA",NorAm
Craig Labovitz,2013,Program,"Arbor Networks, USA",Craig Labovitz,"Arbor Networks, USA",NorAm
Nikolaos Laoutaris,2013,Program,"Telefonica Research, Spain",Nikolaos Laoutaris,"Telefonica Research, Spain",EU
David Levin,2013,Program,"University of Maryland, USA",David Levin,"University of Maryland, USA",NorAm
John C.S. Lui,2013,Program,"The Chinese University of Hong Kong, China",John C.S. Lui,"The Chinese University of Hong Kong, China",AS
Olaf Maennel,2013,Program,"Loughborough University, UK",Olaf Maennel,"Loughborough University, UK",EU
Laurent Mathy,2013,Program,"Lancaster University, UK",Laurent Mathy,"Lancaster University, UK",EU
David Oran,2013,Program,Unknown,David Oran,Unknown,NorAm
Jitu Padhye,2013,Program,"Microsoft Research, USA",Jitu Padhye,"Microsoft Research, USA",NorAm
Venkat Padmanabhan,2013,Program,"Microsoft Research, India",Venkat Padmanabhan,"Microsoft Research, India",AS
Vyas Sekar,2013,Program,"Stony Brook University, USA",Vyas Sekar,"Stony Brook University, USA",NorAm
Georgios Smaragdakis,2013,Program,"Deutsche Telekom Labs/TU Berlin, Germany",Georgios Smaragdakis,"Deutsche Telekom Labs/TU Berlin, Germany",EU
Peter Steenkiste,2013,Program,"Carnegie Mellon University, USA",Peter Steenkiste,"Carnegie Mellon University, USA",NorAm
Ion Stoica,2013,Program,"University of California-Berkely, USA",Ion Stoica,"University of California-Berkely, USA",NorAm
Nina Taft,2013,Program,"Technicolor Palo Alto, USA",Nina Taft,"Technicolor Palo Alto, USA",NorAm
Kun Tan,2013,Program,"Microsoft Research, China",Kun Tan,"Microsoft Research, China",AS
Amin Vahdat,2013,Program,"Google/UC San Diego, USA",Amin Vahdat,"Google/UC San Diego, USA",NorAm
Walter Willinger,2013,Program,"AT&T Labs Research, USA",Walter Willinger,"AT&T Labs Research, USA",NorAm
Arvind Krishnamurthy,2014,Program,"University of Washington, USA",Arvind Krishnamurthy,"University of Washington, USA",NorAm
Sylvia Ratnasamy,2014,Program,"UC Berkeley, USA",Sylvia Ratnasamy,"UC Berkeley, USA",NorAm
Aditya Akella,2014,Program,"University of Wisconsin, USA",Aditya Akella,"University of Wisconsin, USA",NorAm
Katerina Argyraki,2014,Program,"EPFL, Switzerland",Katerina Argyraki,"EPFL, Switzerland",EU
Guido Appenzeller,2014,Program,"Big Switch Networks, USA",Guido Appenzeller,"Big Switch Networks, USA",NorAm
Hitesh Ballani,2014,Program,"Microsoft Research, UK",Hitesh Ballani,"Microsoft Research, UK",EU
Paul Barford,2014,Program,"University of Wisconsin, USA",Paul Barford,"University of Wisconsin, USA",NorAm
Matt Caesar,2014,Program,"University of Illinois, USA",Matt Caesar,"University of Illinois, USA",NorAm
Augustin Chaintreau,2014,Program,"Columbia University, USA",Augustin Chaintreau,"Columbia University, USA",NorAm
Bruce Davie,2014,Program,"VMware, USA",Bruce Davie,"VMware, USA",NorAm
Christophe Diot,2014,Program,"Technicolor, France",Christophe Diot,"Technicolor, France",EU
Nandita Dukkipati,2014,Program,"Google, USA",Nandita Dukkipati,"Google, USA",NorAm
Rodrigo Fonseca,2014,Program,"Brown University, USA",Rodrigo Fonseca,"Brown University, USA",NorAm
Nate Foster,2014,Program,"Cornell University, USA",Nate Foster,"Cornell University, USA",NorAm
Ali Ghodsi,2014,Program,"UC Berkeley, USA",Ali Ghodsi,"UC Berkeley, USA",NorAm
Paul Francis,2014,Program,"Max Planck Institute, Germany",Paul Francis,"Max Planck Institute, Germany",EU
Sharon Goldberg,2014,Program,"Boston University, USA",Sharon Goldberg,"Boston University, USA",NorAm
Brighten Godfrey,2014,Program,"University of Illinois, USA",Brighten Godfrey,"University of Illinois, USA",NorAm
Shyam Gollakota,2014,Program,"University of Washington, USA",Shyam Gollakota,"University of Washington, USA",NorAm
Saikat Guha,2014,Program,"Microsoft Research, India",Saikat Guha,"Microsoft Research, India",AS
Krishna Gummadi,2014,Program,"Max Planck Institute, Germany",Krishna Gummadi,"Max Planck Institute, Germany",EU
Chuanxiong Guo,2014,Program,"Microsoft Research, Asia",Chuanxiong Guo,"Microsoft Research, Asia",
Polly Huang,2014,Program,"National Taiwan University, Taiwan",Polly Huang,"National Taiwan University, Taiwan",AS
Kyle Jamieson,2014,Program,"University College London, UK",Kyle Jamieson,"University College London, UK",EU
Brad Karp,2014,Program,"University College London, UK",Brad Karp,"University College London, UK",EU
Ethan Katz-Bassett,2014,Program,"University of Southern California, USA",Ethan Katz-Bassett,"University of Southern California, USA",NorAm
Teemu Koponen,2014,Program,"VMware, USA",Teemu Koponen,"VMware, USA",NorAm
Harsha Madhyastha,2014,Program,"UC Riverside, USA",Harsha Madhyastha,"UC Riverside, USA",NorAm
Ratul Mahajan,2014,Program,"Microsoft Research, USA",Ratul Mahajan,"Microsoft Research, USA",NorAm
Nick McKeown,2014,Program,"Stanford University, USA",Nick McKeown,"Stanford University, USA",NorAm
Michael Mitzenmacher,2014,Program,"Harvard University, USA",Michael Mitzenmacher,"Harvard University, USA",NorAm
Andrew Moore,2014,Program,"University of Cambridge, UK",Andrew Moore,"University of Cambridge, UK",EU
Robert Morris,2014,Program,"Massachusetts Institute of Technology, USA",Robert Morris,"Massachusetts Institute of Technology, USA",NorAm
Jitendra Padhye,2014,Program,"Microsoft Research, USA",Jitendra Padhye,"Microsoft Research, USA",NorAm
Vivek Pai,2014,Program,"Princeton University, USA",Vivek Pai,"Princeton University, USA",NorAm
Dina Papagiannaki,2014,Program,"Telefonica, Spain",Dina Papagiannaki,"Telefonica, Spain",EU
KyoungSoo Park,2014,Program,"KAIST, Korea",KyoungSoo Park,"KAIST, Korea",AS
Adrian Perrig,2014,Program,"ETH Zurich, Switzerland",Adrian Perrig,"ETH Zurich, Switzerland",EU
Larry Peterson,2014,Program,Princeton University and ON.LAB,Larry Peterson,Princeton University and ON.LAB,NorAm
Srinivasan Seshan,2014,Program,"Carnegie Mellon University, USA",Srinivasan Seshan,"Carnegie Mellon University, USA",NorAm
Vyas Sekar,2014,Program,"Carnegie Mellon University, USA",Vyas Sekar,"Carnegie Mellon University, USA",NorAm
Scott Shenker,2014,Program,"UC Berkeley and ICSI, USA",Scott Shenker,"UC Berkeley and ICSI, USA",NorAm
Alex Snoeren,2014,Program,"UC San Diego, USA",Alex Snoeren,"UC San Diego, USA",NorAm
Neil Spring,2014,Program,"University of Maryland, USA",Neil Spring,"University of Maryland, USA",NorAm
Kun Tan,2014,Program,"Microsoft Research, Asia",Kun Tan,"Microsoft Research, Asia",
Renata Teixeira,2014,Program,"University Pierre et Marie Curie, France",Renata Teixeira,"University Pierre et Marie Curie, France",EU
Amin Vahdat,2014,Program,"Google and UC San Diego, USA",Amin Vahdat,"Google and UC San Diego, USA",NorAm
Walter Willinger,2014,Program,"Niksun, USA",Walter Willinger,"Niksun, USA",NorAm
John Wrocklawski,2014,Program,"ISI, USA",John Wrocklawski,"ISI, USA",NorAm
Richard Yang,2014,Program,"Yale University, USA",Richard Yang,"Yale University, USA",NorAm
Xiaowei Yang,2014,Program,"Duke University, USA",Xiaowei Yang,"Duke University, USA",NorAm
Minlan Yu,2014,Program,"University of Southern California, USA",Minlan Yu,"University of Southern California, USA",NorAm
Ellen Zegura,2014,Program,"Georgia Tech, USA",Ellen Zegura,"Georgia Tech, USA",NorAm
Yin Zhang,2014,Program,"University of Texas, Austin, USA",Yin Zhang,"University of Texas, Austin, USA",NorAm
Brad Karp,2015,Program,"University College London, UK",Brad Karp,"University College London, UK",EU
Jitendra Padhye,2015,Program,"Microsoft Research, USA",Jitendra Padhye,"Microsoft Research, USA",NorAm
Aditya Akella,2015,Program,"University of Wisconsin, USA",Aditya Akella,"University of Wisconsin, USA",NorAm
Mohammad Alizadeh,2015,Program,"MIT and Cisco, USA",Mohammad Alizadeh,"MIT and Cisco, USA",NorAm
Katerina Argyraki,2015,Program,"EPFL, Switzerland",Katerina Argyraki,"EPFL, Switzerland",EU
Aruna Balasubramanian,2015,Program,"Stony Brook University, USA",Aruna Balasubramanian,"Stony Brook University, USA",NorAm
Hitesh Ballani,2015,Program,"Microsoft Research, UK",Hitesh Ballani,"Microsoft Research, UK",EU
Sujata Banerjee,2015,Program,"HP Labs, USA",Sujata Banerjee,"HP Labs, USA",NorAm
Keren Bergman,2015,Program,"Columbia University, USA",Keren Bergman,"Columbia University, USA",NorAm
John Byers,2015,Program,"Boston University, USA",John Byers,"Boston University, USA",NorAm
Jeff Chase,2015,Program,"Duke University, USA",Jeff Chase,"Duke University, USA",NorAm
Mung Chiang,2015,Program,"Princeton University, USA",Mung Chiang,"Princeton University, USA",NorAm
Jon Crowcroft,2015,Program,"University of Cambridge, UK",Jon Crowcroft,"University of Cambridge, UK",EU
Bruce Davie,2015,Program,"VMware, USA",Bruce Davie,"VMware, USA",NorAm
Nandita Dukkipati,2015,Program,"Google, USA",Nandita Dukkipati,"Google, USA",NorAm
Anja Feldmann,2015,Program,"Technische Univ. Berlin, Germany",Anja Feldmann,"Technische Univ. Berlin, Germany",EU
Bryan Ford,2015,Program,"Yale University, USA",Bryan Ford,"Yale University, USA",NorAm
Nate Foster,2015,Program,"Cornell University, USA",Nate Foster,"Cornell University, USA",NorAm
Lixin Gao,2015,Program,"Univ. of Massachusetts Amherst, USA",Lixin Gao,"Univ. of Massachusetts Amherst, USA",NorAm
Brighten Godfrey,2015,Program,"University of Illinois, USA",Brighten Godfrey,"University of Illinois, USA",NorAm
Sharon Goldberg,2015,Program,"Boston University, USA",Sharon Goldberg,"Boston University, USA",NorAm
Kyle Jamieson,2015,Program,"University College London, UK",Kyle Jamieson,"University College London, UK",EU
Srikanth Kandula,2015,Program,"Microsoft Research, USA",Srikanth Kandula,"Microsoft Research, USA",NorAm
Dina Katabi,2015,Program,"MIT, USA",Dina Katabi,"MIT, USA",NorAm
Sachin Katti,2015,Program,"Stanford University, USA",Sachin Katti,"Stanford University, USA",NorAm
Ethan Katz-Bassett,2015,Program,"University of Southern California, USA",Ethan Katz-Bassett,"University of Southern California, USA",NorAm
Teemu Koponen,2015,Program,"VMware, USA",Teemu Koponen,"VMware, USA",NorAm
John C.S.Lui,2015,Program,"Chinese Univ. of Hong Kong, Hong Kong",John C.S.Lui,"Chinese Univ. of Hong Kong, Hong Kong",
Z. Morley Mao,2015,Program,"Univ. of Michigan, USA",Z. Morley Mao,"Univ. of Michigan, USA",NorAm
Dave Oran,2015,Program,"Cisco, USA",Dave Oran,"Cisco, USA",NorAm
George Papen,2015,Program,"UC San Diego ECE, USA",George Papen,"UC San Diego ECE, USA",NorAm
KyoungSoo Park,2015,Program,"KAIST, Korea",KyoungSoo Park,"KAIST, Korea",AS
George Porter,2015,Program,"UC San Diego CSE, USA",George Porter,"UC San Diego CSE, USA",NorAm
Luigi Rizzo,2015,Program,"Università di Pisa, Italy, USA",Luigi Rizzo,"Università di Pisa, Italy, USA",NorAm
Ashutosh Sabharwal,2015,Program,"Rice University, USA",Ashutosh Sabharwal,"Rice University, USA",NorAm
Stefan Savage,2015,Program,"UC San Diego CSE, USA",Stefan Savage,"UC San Diego CSE, USA",NorAm
Michael Schapira,2015,Program,"Hebrew University, Israel",Michael Schapira,"Hebrew University, Israel",AS
Vyas Sekar,2015,Program,"Carnegie Mellon University, USA",Vyas Sekar,"Carnegie Mellon University, USA",NorAm
Kun Tan,2015,Program,"Microsoft Research, Asia",Kun Tan,"Microsoft Research, Asia",
Pramod Viswanath,2015,Program,"UIUC, USA",Pramod Viswanath,"UIUC, USA",NorAm
Geoff Voelker,2015,Program,"UC San Diego CSE, USA",Geoff Voelker,"UC San Diego CSE, USA",NorAm
Michael Walfish,2015,Program,"NYU, USA",Michael Walfish,"NYU, USA",NorAm
Jia Wang,2015,Program,"AT&T Research, USA",Jia Wang,"AT&T Research, USA",NorAm
Philip Watts,2015,Program,"University College London, UK",Philip Watts,"University College London, UK",EU
David Wetherall,2015,Program,"Google and Univ. of Washington, USA",David Wetherall,"Google and Univ. of Washington, USA",NorAm
Walter Willinger,2015,Program,"Niksun, USA",Walter Willinger,"Niksun, USA",NorAm
Keith Winstein,2015,Program,"Stanford University, USA",Keith Winstein,"Stanford University, USA",NorAm
Xiaowei Yang,2015,Program,"Duke University, USA",Xiaowei Yang,"Duke University, USA",NorAm
Minlan Yu,2015,Program,"University of Southern California, USA",Minlan Yu,"University of Southern California, USA",NorAm
Ming Zhang,2015,Program,"Microsoft Research, USA",Ming Zhang,"Microsoft Research, USA",NorAm
Lin Zhong,2015,Program,"Rice University, USA",Lin Zhong,"Rice University, USA",NorAm
Amin Vahdat,2016,Program,"UCSD and Google, USA",Amin Vahdat,"UCSD and Google, USA",NorAm
Sachin Katti,2016,Program,"Stanford University, USA",Sachin Katti,"Stanford University, USA",NorAm
Aditya Akella,2016,Program,"University of Wisconsin Madison, USA",Aditya Akella,"University of Wisconsin Madison, USA",NorAm
Mohammad Alizadeh,2016,Program,"MIT, USA",Mohammad Alizadeh,"MIT, USA",NorAm
Katerina Argyraki,2016,Program,"EPFL, Switzerland",Katerina Argyraki,"EPFL, Switzerland",EU
Hari Balakrishnan,2016,Program,"MIT, USA",Hari Balakrishnan,"MIT, USA",NorAm
Hitesh Ballani,2016,Program,"Microsoft, UK",Hitesh Ballani,"Microsoft, UK",EU
Sujata Banerjee,2016,Program,"HP Labs, USA",Sujata Banerjee,"HP Labs, USA",NorAm
Suman Banerjee,2016,Program,"University of Wisconsin Madison, USA",Suman Banerjee,"University of Wisconsin Madison, USA",NorAm
Theo Benson,2016,Program,"Duke University, USA",Theo Benson,"Duke University, USA",NorAm
Ranjita Bhagwan,2016,Program,"Microsoft, India",Ranjita Bhagwan,"Microsoft, India",AS
Fabián Bustamante,2016,Program,"Northwestern University, USA",Fabián Bustamante,"Northwestern University, USA",NorAm
Nandita Dukkipati,2016,Program,"Google, USA",Nandita Dukkipati,"Google, USA",NorAm
Nick Feamster,2016,Program,"Princeton University, USA",Nick Feamster,"Princeton University, USA",NorAm
Nate Foster,2016,Program,"Cornell University, USA",Nate Foster,"Cornell University, USA",NorAm
Deepak Ganesan,2016,Program,"University of Massachusetts Amherst, USA",Deepak Ganesan,"University of Massachusetts Amherst, USA",NorAm
Yashar Ganjali,2016,Program,"University of Toronto, Canada",Yashar Ganjali,"University of Toronto, Canada",NorAm
Phillipa Gill,2016,Program,"Stony Broook University, USA",Phillipa Gill,"Stony Broook University, USA",NorAm
Sergey Gorisnky,2016,Program,"IMDEA Networks Institute, Spain",Sergey Gorisnky,"IMDEA Networks Institute, Spain",EU
Ramesh Govindan,2016,Program,"University of Southern California, USA",Ramesh Govindan,"University of Southern California, USA",NorAm
